"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"NE83","TR, TM, FP, PA, QA, SS",72,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"1 : TM | 6 : TR","3 : TM | 6 : TR","2 : TM | 7 : TR","1 : SS | 1 : TM | 6 : TR","6 : TR","2 : FP | 12 : PA | 2 : QA | 6 : TR","6 : TR","5 : TR","TR: 23 | FP: 2 | PA: 12 | QA: 2 | Total: 39","TM: 7 | TR: 37 | SS: 1 | FP: 2 | PA: 12 | QA: 2 | Total: 61","TM: 3 | TR: 36 | SS: 1 | FP: 2 | PA: 12 | QA: 2 | Total: 56","TR: 23 | FP: 2 | PA: 12 | QA: 2 | Total: 39"
"NE85","TM, QA, SS",31,"2011, 2012, 2013, 2014, 2017, 2018",6,"1 : QA | 7 : TM","1 : QA | 5 : TM","4 : TM","1 : SS | 1 : TM",NA,NA,"6 : TM","5 : TM","TM: 11 | Total: 11","QA: 2 | TM: 17 | SS: 1 | Total: 20","TM: 16 | SS: 1 | Total: 17","TM: 11 | Total: 11"
"RD01","RL, FP, PA",719,"2015, 2016, 2014",3,NA,NA,NA,"3 : FP | 12 : PA","329 : RL","375 : RL",NA,NA,"RL: 704 | Total: 704","FP: 3 | PA: 12 | RL: 704 | Total: 719","FP: 3 | PA: 12 | RL: 704 | Total: 719","RL: 704 | Total: 704"
"RD02","AW, QA, RB",26,"2011, 2012, 2015, 2017",4,"6 : AW","5 : AW | 1 : QA",NA,NA,"2 : RB",NA,"12 : AW",NA,"RB: 2 | AW: 12 | Total: 14","AW: 11 | QA: 1 | RB: 2 | Total: 14","RB: 2 | AW: 12 | Total: 14","RB: 2 | AW: 12 | Total: 14"
"RD03","AW, FP",15,"2014, 2012",2,NA,"3 : FP",NA,"12 : AW",NA,NA,NA,NA,NA,"FP: 3 | AW: 12 | Total: 15","AW: 12 | Total: 12",NA
"RD04","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD05","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD06","AW, FP, RB",16,"2013, 2014",2,NA,NA,"12 : AW | 1 : FP | 1 : RB","2 : RB",NA,NA,NA,NA,NA,"AW: 12 | FP: 1 | RB: 3 | Total: 16","AW: 12 | FP: 1 | RB: 3 | Total: 16",NA
"RD07","AW, QA",13,"2016",1,NA,NA,NA,NA,NA,"12 : AW | 1 : QA",NA,NA,"AW: 12 | QA: 1 | Total: 13","AW: 12 | QA: 1 | Total: 13","AW: 12 | QA: 1 | Total: 13","AW: 12 | QA: 1 | Total: 13"
"RD08","FP, AW, QA, PA",31,"2015, 2011, 2012",3,"6 : AW | 4 : FP","5 : AW | 1 : QA",NA,NA,"3 : FP | 11 : PA | 1 : QA",NA,NA,NA,"FP: 3 | PA: 11 | QA: 1 | Total: 15","AW: 11 | FP: 7 | QA: 2 | PA: 11 | Total: 31","FP: 3 | PA: 11 | QA: 1 | Total: 15","FP: 3 | PA: 11 | QA: 1 | Total: 15"
"RD09","AW, TR",49,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW","6 : AW","7 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","TR: 24 | Total: 24","AW: 12 | TR: 25 | Total: 37","TR: 37 | Total: 37","TR: 24 | Total: 24"
"RD10","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD11","AW, RB, TM",46,"2011, 2012, 2013, 2014, 2017",5,"6 : AW","6 : AW","2 : RB","2 : RB | 18 : TM",NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 12 | RB: 4 | TM: 18 | Total: 34","RB: 4 | TM: 18 | AW: 12 | Total: 34","AW: 12 | Total: 12"
"RD12","AW, TR",51,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW","6 : AW","7 : TR","7 : TR","7 : TR","6 : TR","6 : TR","6 : TR","TR: 25 | Total: 25","AW: 12 | TR: 27 | Total: 39","TR: 39 | Total: 39","TR: 25 | Total: 25"
"RD13","AW, QA",12,"2013",1,NA,NA,"11 : AW | 1 : QA",NA,NA,NA,NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12",NA
"RD14","AW",14,"2014",1,NA,NA,NA,"14 : AW",NA,NA,NA,NA,NA,"AW: 14 | Total: 14","AW: 14 | Total: 14",NA
"RD15","RB, AW, TR",61,"2013, 2014, 2015, 2016, 2011, 2012, 2017, 2018",8,"6 : AW","6 : AW","2 : RB | 7 : TR","2 : RB | 6 : TR","2 : RB | 6 : TR","3 : RB | 6 : TR","2 : RB | 6 : TR","1 : RB | 6 : TR","RB: 8 | TR: 24 | Total: 32","AW: 12 | RB: 9 | TR: 25 | Total: 46","RB: 12 | TR: 37 | Total: 49","RB: 8 | TR: 24 | Total: 32"
"RD16","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD17","AW, RB, FP, PA, TR, QA",71,"2011, 2012, 2013, 2016, 2014, 2018",6,"6 : AW","6 : AW | 2 : FP","12 : AW","3 : FP | 12 : PA",NA,"3 : FP | 12 : PA | 2 : RB",NA,"1 : FP | 2 : QA | 10 : TR","FP: 4 | PA: 12 | RB: 2 | QA: 2 | TR: 10 | Total: 30","AW: 24 | FP: 8 | PA: 24 | RB: 2 | Total: 58","AW: 12 | FP: 7 | PA: 24 | RB: 2 | QA: 2 | TR: 10 | Total: 57","FP: 4 | PA: 12 | RB: 2 | QA: 2 | TR: 10 | Total: 30"
"RD18","AW, QA, RB",14,"2013, 2016",2,NA,NA,"11 : AW | 1 : QA",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 11 | QA: 1 | RB: 2 | Total: 14","AW: 11 | QA: 1 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"RD19","AW, RL",1332,"2014, 2011, 2012, 2015, 2016",5,"308 : RL","339 : RL",NA,"12 : AW","343 : RL","330 : RL",NA,NA,"RL: 673 | Total: 673","RL: 1320 | AW: 12 | Total: 1332","AW: 12 | RL: 673 | Total: 685","RL: 673 | Total: 673"
"RD20","RL, AW, RB",962,"2015, 2016, 2011, 2012, 2017",5,"6 : AW | 209 : RL","6 : AW | 2 : RB | 234 : RL",NA,NA,"257 : RL","236 : RL","12 : AW",NA,"RL: 493 | AW: 12 | Total: 505","AW: 12 | RL: 936 | RB: 2 | Total: 950","RL: 493 | AW: 12 | Total: 505","RL: 493 | AW: 12 | Total: 505"
"RD21","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD22","TR, TM, AW, RL",928,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"201 : RL | 6 : TR","231 : RL | 3 : TM | 6 : TR","7 : TR","6 : TR","227 : RL | 6 : TR","1 : AW | 215 : RL | 6 : TR","1 : AW | 6 : TR","6 : TR","RL: 442 | TR: 24 | AW: 2 | Total: 468","RL: 874 | TR: 37 | TM: 3 | AW: 1 | Total: 915","TR: 37 | RL: 442 | AW: 2 | Total: 481","RL: 442 | TR: 24 | AW: 2 | Total: 468"
"RD23","QA, AW",24,"2011, 2012, 2017",3,"4 : AW | 2 : QA","6 : AW",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 10 | QA: 2 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD24","TM, RB, AW, FP, RL, PA, TR, QA",4683,"2013, 2014, 2015, 2011, 2012, 2016, 2017, 2018",8,"4 : FP | 4 : RB | 12 : TM | 6 : TR","1 : QA | 4 : RB | 6 : TM | 5 : TR","6 : FP | 10 : RB | 6 : TM | 7 : TR","6 : AW | 11 : RB | 58 : RL | 4402 : TM | 9 : TR","8 : FP | 59 : RL | 6 : TR","3 : FP | 12 : PA | 1 : RB | 11 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","FP: 13 | RL: 59 | TR: 29 | PA: 24 | RB: 1 | Total: 126","FP: 21 | RB: 30 | TM: 4426 | TR: 44 | QA: 1 | AW: 6 | RL: 117 | PA: 12 | Total: 4657","FP: 19 | RB: 22 | TM: 4408 | TR: 45 | AW: 6 | RL: 117 | PA: 24 | Total: 4641","FP: 13 | RL: 59 | TR: 29 | PA: 24 | RB: 1 | Total: 126"
"RD25","AW, PA, QA",35,"2011, 2012, 2016, 2017",4,"6 : AW","6 : AW",NA,NA,NA,"11 : PA","10 : AW | 2 : QA",NA,"PA: 11 | AW: 10 | QA: 2 | Total: 23","AW: 12 | PA: 11 | Total: 23","PA: 11 | AW: 10 | QA: 2 | Total: 23","PA: 11 | AW: 10 | QA: 2 | Total: 23"
"RD26","RB, TM, AW",108,"2013, 2014, 2011, 2012, 2017",5,"8 : RB | 24 : TM","8 : RB | 12 : TM","8 : RB","12 : RB | 28 : TM",NA,NA,"8 : AW",NA,"AW: 8 | Total: 8","RB: 36 | TM: 64 | Total: 100","RB: 20 | TM: 28 | AW: 8 | Total: 56","AW: 8 | Total: 8"
"RD27","AW, QA",24,"2011, 2012, 2017",3,"5 : AW | 1 : QA","6 : AW",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD28","AW",11,"2016",1,NA,NA,NA,NA,NA,"11 : AW",NA,NA,"AW: 11 | Total: 11","AW: 11 | Total: 11","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RD29","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD30","FP, TR, PA, RB, TM",89,"2011, 2014, 2016, 2012, 2013, 2015, 2018, 2017",8,"3 : FP | 2 : RB | 5 : TM | 6 : TR","2 : RB | 3 : TM | 6 : TR","12 : PA | 2 : RB | 1 : TR","2 : FP | 2 : RB | 14 : TR","6 : TR","3 : FP | 1 : RB | 7 : TR","5 : TR","1 : FP | 6 : TR","TR: 24 | FP: 4 | RB: 1 | Total: 29","FP: 8 | RB: 9 | TM: 8 | TR: 40 | PA: 12 | Total: 77","PA: 12 | RB: 5 | TR: 39 | FP: 6 | Total: 62","TR: 24 | FP: 4 | RB: 1 | Total: 29"
"RD31","AW, RB, FP",26,"2016, 2011, 2012, 2014, 2015, 2017",6,"2 : FP | 2 : RB","2 : FP",NA,"2 : RB","2 : RB","12 : AW | 2 : FP | 1 : RB","1 : RB",NA,"RB: 4 | AW: 12 | FP: 2 | Total: 18","FP: 6 | RB: 7 | AW: 12 | Total: 25","RB: 6 | AW: 12 | FP: 2 | Total: 20","RB: 4 | AW: 12 | FP: 2 | Total: 18"
"RD32","AW, RB, TR, DR, FP",90,"2011, 2012, 2014, 2016, 2013, 2015",6,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","10 : DR | 1 : FP | 3 : RB | 6 : TR","14 : DR | 6 : TR","11 : DR | 3 : RB | 6 : TR",NA,NA,"DR: 25 | TR: 12 | RB: 3 | Total: 40","AW: 12 | TR: 36 | DR: 35 | FP: 1 | RB: 6 | Total: 90","TR: 24 | DR: 35 | FP: 1 | RB: 6 | Total: 66","DR: 25 | TR: 12 | RB: 3 | Total: 40"
"RD33","DR, AW",54,"2014, 2015, 2016, 2017, 2018",5,NA,NA,NA,"12 : AW | 12 : DR","13 : DR","11 : DR","4 : DR","2 : DR","DR: 30 | Total: 30","AW: 12 | DR: 36 | Total: 48","AW: 12 | DR: 42 | Total: 54","DR: 30 | Total: 30"
"RD34","FP, RB, AW, QA",21,"2012, 2014, 2016, 2013, 2018",5,NA,"2 : FP","2 : RB","4 : RB",NA,"11 : AW | 1 : QA",NA,"1 : RB","AW: 11 | QA: 1 | RB: 1 | Total: 13","FP: 2 | RB: 6 | AW: 11 | QA: 1 | Total: 20","RB: 7 | AW: 11 | QA: 1 | Total: 19","AW: 11 | QA: 1 | RB: 1 | Total: 13"
"RD35","AW",23,"2011, 2012, 2017, 2018",4,"6 : AW","6 : AW",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RD36","TR, AW, RB",61,"2013, 2014, 2015, 2016, 2011, 2012, 2017, 2018",8,"12 : AW","12 : AW | 2 : RB","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","AW: 24 | RB: 2 | TR: 24 | Total: 50","TR: 35 | Total: 35","TR: 23 | Total: 23"
"RD37","RB, AW",17,"2011, 2012, 2014, 2015",4,"1 : RB","2 : RB",NA,"2 : RB","12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 5 | AW: 12 | Total: 17","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"RD38","RB, PA, FP, AW, QA",53,"2011, 2012, 2014, 2016, 2013, 2015, 2017, 2018",8,"6 : AW | 1 : RB","6 : AW | 2 : RB","2 : FP | 3 : RB","4 : FP | 12 : PA","4 : RB","2 : RB","5 : AW | 1 : QA","5 : AW","RB: 6 | AW: 10 | QA: 1 | Total: 17","AW: 12 | RB: 12 | FP: 6 | PA: 12 | Total: 42","FP: 6 | RB: 9 | PA: 12 | AW: 10 | QA: 1 | Total: 38","RB: 6 | AW: 10 | QA: 1 | Total: 17"
"RD39","AW, RB, FP",19,"2016, 2015, 2011, 2014",4,"2 : FP",NA,NA,"3 : RB","2 : RB","12 : AW",NA,NA,"RB: 2 | AW: 12 | Total: 14","FP: 2 | RB: 5 | AW: 12 | Total: 19","RB: 5 | AW: 12 | Total: 17","RB: 2 | AW: 12 | Total: 14"
"RD41","AW, QA, RB, PA, DR",60,"2011, 2012, 2015, 2013, 2014, 2016",6,"6 : AW","5 : AW | 1 : QA","12 : PA","10 : DR","13 : DR | 2 : RB","11 : DR",NA,NA,"DR: 24 | RB: 2 | Total: 26","AW: 11 | QA: 1 | PA: 12 | DR: 34 | RB: 2 | Total: 60","PA: 12 | DR: 34 | RB: 2 | Total: 48","DR: 24 | RB: 2 | Total: 26"
"RD43","AW, FP, PA",26,"2013",1,NA,NA,"12 : AW | 2 : FP | 12 : PA",NA,NA,NA,NA,NA,NA,"AW: 12 | FP: 2 | PA: 12 | Total: 26","AW: 12 | FP: 2 | PA: 12 | Total: 26",NA
"RD44","FP, DR, RB",7,"2013, 2014, 2015, 2012",4,NA,"1 : RB","1 : FP | 2 : RB","1 : DR | 1 : FP","1 : DR",NA,NA,NA,"DR: 1 | Total: 1","RB: 3 | FP: 2 | DR: 2 | Total: 7","FP: 2 | RB: 2 | DR: 2 | Total: 6","DR: 1 | Total: 1"
"RD45","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD46","AW, PA, FP, TR, DR",123,"2011, 2012, 2016, 2013, 2014, 2015, 2017, 2018",8,"12 : AW | 1 : FP | 6 : TR","12 : AW | 6 : TR","6 : TR","12 : DR | 6 : TR","13 : DR | 6 : TR","11 : DR | 2 : FP | 12 : PA | 6 : TR","4 : DR | 6 : TR","2 : DR","DR: 30 | TR: 18 | FP: 2 | PA: 12 | Total: 62","AW: 24 | FP: 3 | TR: 36 | DR: 36 | PA: 12 | Total: 111","TR: 30 | DR: 42 | FP: 2 | PA: 12 | Total: 86","DR: 30 | TR: 18 | FP: 2 | PA: 12 | Total: 62"
"RD47","RB, AW",39,"2013, 2011, 2012, 2017, 2018",5,"12 : AW","12 : AW","4 : RB",NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 24 | RB: 4 | Total: 28","RB: 4 | AW: 11 | Total: 15","AW: 11 | Total: 11"
"RD48","RB, FP, PA",18,"2014, 2015, 2018",3,NA,NA,NA,"2 : RB","2 : FP | 12 : PA",NA,NA,"2 : RB","FP: 2 | PA: 12 | RB: 2 | Total: 16","RB: 2 | FP: 2 | PA: 12 | Total: 16","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | RB: 2 | Total: 16"
"RD49","RB",2,"2015",1,NA,NA,NA,NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2"
"RD50","AW",23,"2011, 2012, 2017, 2018",4,"6 : AW","6 : AW",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RD51","TR, RB, TM, FP",103,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","4 : RB | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","5 : RB | 6 : TR","2 : FP | 4 : RB | 18 : TM | 6 : TR","2 : FP | 4 : RB | 15 : TM | 5 : TR","TR: 23 | RB: 13 | FP: 4 | TM: 33 | Total: 73","TR: 36 | RB: 11 | Total: 47","TR: 35 | RB: 15 | FP: 4 | TM: 33 | Total: 87","TR: 23 | RB: 13 | FP: 4 | TM: 33 | Total: 73"
"RD52","AW, RB, PA",26,"2013, 2011, 2017",3,"2 : RB",NA,"12 : AW",NA,NA,NA,"12 : PA",NA,"PA: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","AW: 12 | PA: 12 | Total: 24","PA: 12 | Total: 12"
"RD53","RB, PA, FP",19,"2011, 2012, 2014, 2015",4,"1 : RB","2 : RB",NA,"2 : RB","2 : FP | 12 : PA",NA,NA,NA,"FP: 2 | PA: 12 | Total: 14","RB: 5 | FP: 2 | PA: 12 | Total: 19","RB: 2 | FP: 2 | PA: 12 | Total: 16","FP: 2 | PA: 12 | Total: 14"
"RD54","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD55","RL, RB, AW, QA",195,"2011, 2012, 2016, 2017, 2018",5,"6 : AW | 48 : RL","6 : AW | 40 : RL",NA,NA,NA,"2 : RB","6 : AW | 1 : QA | 2 : RB | 40 : RL","5 : AW | 1 : QA | 38 : RL","RB: 4 | AW: 11 | QA: 2 | RL: 78 | Total: 95","AW: 12 | RL: 88 | RB: 2 | Total: 102","RB: 4 | AW: 11 | QA: 2 | RL: 78 | Total: 95","RB: 4 | AW: 11 | QA: 2 | RL: 78 | Total: 95"
"RD56","RB, AW, PA, QA",30,"2013, 2014, 2016, 2017",4,NA,NA,"4 : RB","12 : AW",NA,"2 : RB","11 : PA | 1 : QA",NA,"RB: 2 | PA: 11 | QA: 1 | Total: 14","RB: 6 | AW: 12 | Total: 18","RB: 6 | AW: 12 | PA: 11 | QA: 1 | Total: 30","RB: 2 | PA: 11 | QA: 1 | Total: 14"
"RD57","FP, RB, AW",22,"2011, 2013, 2016",3,"2 : FP",NA,"4 : RB",NA,NA,"12 : AW | 4 : RB",NA,NA,"AW: 12 | RB: 4 | Total: 16","FP: 2 | RB: 8 | AW: 12 | Total: 22","RB: 8 | AW: 12 | Total: 20","AW: 12 | RB: 4 | Total: 16"
"RD58","PA, FP",13,"2013",1,NA,NA,"1 : FP | 12 : PA",NA,NA,NA,NA,NA,NA,"FP: 1 | PA: 12 | Total: 13","FP: 1 | PA: 12 | Total: 13",NA
"RD59","RB, AW",14,"2016, 2014",2,NA,NA,NA,"12 : AW",NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"RD60","AW, TR",59,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","AW: 12 | TR: 36 | Total: 48","TR: 35 | Total: 35","TR: 23 | Total: 23"
"RD61","RB, AW",16,"2012, 2013, 2015",3,NA,"2 : RB","12 : AW",NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 4 | AW: 12 | Total: 16","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"RD62","AW, RB, FP",40,"2011, 2012, 2014, 2017, 2018",5,"12 : AW","12 : AW | 2 : FP",NA,"1 : RB",NA,NA,"6 : AW | 2 : RB","5 : AW","AW: 11 | RB: 2 | Total: 13","AW: 24 | FP: 2 | RB: 1 | Total: 27","RB: 3 | AW: 11 | Total: 14","AW: 11 | RB: 2 | Total: 13"
"RD63","RB, PA, FP",20,"2012, 2014, 2015",3,NA,"2 : FP | 2 : RB",NA,"4 : RB","12 : PA",NA,NA,NA,"PA: 12 | Total: 12","FP: 2 | RB: 6 | PA: 12 | Total: 20","RB: 4 | PA: 12 | Total: 16","PA: 12 | Total: 12"
"RD64","RB, IM",30,"2014, 2015, 2016, 2017, 2018",5,NA,NA,NA,"1 : RB","6 : IM","12 : IM","6 : IM","5 : IM","IM: 29 | Total: 29","RB: 1 | IM: 18 | Total: 19","RB: 1 | IM: 29 | Total: 30","IM: 29 | Total: 29"
"RD65","RL, AW, RB, PA",104,"2015, 2016, 2011, 2012, 2013, 2017, 2018",7,"6 : AW","6 : AW","4 : RB",NA,"13 : PA | 29 : RL","4 : RB | 31 : RL","6 : AW","5 : AW","PA: 13 | RL: 60 | RB: 4 | AW: 11 | Total: 88","AW: 12 | RB: 8 | PA: 13 | RL: 60 | Total: 93","RB: 8 | PA: 13 | RL: 60 | AW: 11 | Total: 92","PA: 13 | RL: 60 | RB: 4 | AW: 11 | Total: 88"
"RD66","AW, RB, QA",29,"2011, 2012, 2016, 2017, 2018",5,"6 : AW | 2 : RB","6 : AW | 2 : RB",NA,NA,NA,"2 : RB","5 : AW | 1 : QA","5 : AW","RB: 2 | AW: 10 | QA: 1 | Total: 13","AW: 12 | RB: 6 | Total: 18","RB: 2 | AW: 10 | QA: 1 | Total: 13","RB: 2 | AW: 10 | QA: 1 | Total: 13"
"RD67","TR, AW, TM",68,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","9 : TM | 6 : TR","6 : TR","6 : TR","5 : TR","TM: 9 | TR: 23 | Total: 32","AW: 12 | TR: 36 | TM: 9 | Total: 57","TR: 35 | TM: 9 | Total: 44","TM: 9 | TR: 23 | Total: 32"
"RD69","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD70","TR, TM",48,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"1 : TM | 5 : TR","6 : TM","7 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TM: 7 | TR: 30 | Total: 37","TR: 36 | Total: 36","TR: 23 | Total: 23"
"RD71","AW",13,"2013",1,NA,NA,"13 : AW",NA,NA,NA,NA,NA,NA,"AW: 13 | Total: 13","AW: 13 | Total: 13",NA
"RD72","TM, RB, AW, QA",43,"2011, 2012, 2017, 2018",4,"30 : TM","2 : RB",NA,NA,NA,NA,"6 : AW","4 : AW | 1 : QA","AW: 10 | QA: 1 | Total: 11","TM: 30 | RB: 2 | Total: 32","AW: 10 | QA: 1 | Total: 11","AW: 10 | QA: 1 | Total: 11"
"RD73","AW, TM, RB, QA, TR",25,"2011, 2012, 2015, 2017, 2018",5,"5 : AW | 1 : TM","6 : TM",NA,NA,"2 : RB",NA,"5 : AW | 1 : QA","5 : TR","RB: 2 | AW: 5 | QA: 1 | TR: 5 | Total: 13","AW: 5 | TM: 7 | RB: 2 | Total: 14","RB: 2 | AW: 5 | QA: 1 | TR: 5 | Total: 13","RB: 2 | AW: 5 | QA: 1 | TR: 5 | Total: 13"
"RD74","TM, RB",13,"2011, 2015",2,"12 : TM",NA,NA,NA,"1 : RB",NA,NA,NA,"RB: 1 | Total: 1","TM: 12 | RB: 1 | Total: 13","RB: 1 | Total: 1","RB: 1 | Total: 1"
"RD75","TM, AW, RB",27,"2011, 2014, 2015",3,"12 : TM",NA,NA,"12 : AW","3 : RB",NA,NA,NA,"RB: 3 | Total: 3","TM: 12 | AW: 12 | RB: 3 | Total: 27","AW: 12 | RB: 3 | Total: 15","RB: 3 | Total: 3"
"RD76","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD77","TR, RB, DR, TM",80,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"12 : TM | 6 : TR","6 : TR","6 : TR","7 : DR | 6 : TR","7 : DR | 6 : RB | 6 : TR","7 : DR | 6 : TR","3 : DR","2 : DR","DR: 19 | RB: 6 | TR: 12 | Total: 37","TM: 12 | TR: 36 | DR: 21 | RB: 6 | Total: 75","TR: 24 | DR: 26 | RB: 6 | Total: 56","DR: 19 | RB: 6 | TR: 12 | Total: 37"
"RL01","AW, TM, RB",16,"2011, 2012, 2014, 2016",4,"5 : AW | 1 : TM","6 : TM",NA,"2 : RB",NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 5 | TM: 7 | RB: 4 | Total: 16","RB: 4 | Total: 4","RB: 2 | Total: 2"
"RL03","TM",12,"2011",1,"12 : TM",NA,NA,NA,NA,NA,NA,NA,NA,"TM: 12 | Total: 12",NA,NA
"RL06","RL",324,"2012, 2014, 2016",3,NA,"99 : RL",NA,"114 : RL",NA,"111 : RL",NA,NA,"RL: 111 | Total: 111","RL: 324 | Total: 324","RL: 225 | Total: 225","RL: 111 | Total: 111"
"RL07","RL",242,"2012, 2014, 2016",3,NA,"78 : RL",NA,"77 : RL",NA,"87 : RL",NA,NA,"RL: 87 | Total: 87","RL: 242 | Total: 242","RL: 164 | Total: 164","RL: 87 | Total: 87"
"RL09","RL",1469,"2012, 2014, 2016",3,NA,"480 : RL",NA,"492 : RL",NA,"497 : RL",NA,NA,"RL: 497 | Total: 497","RL: 1469 | Total: 1469","RL: 989 | Total: 989","RL: 497 | Total: 497"
"RL10","TM, RB, TR",57,"2013, 2014, 2011, 2012, 2015, 2016",6,"7 : TR","2 : RB | 6 : TR","4 : RB | 6 : TM | 6 : TR","2 : RB | 6 : TM | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 37 | RB: 8 | TM: 12 | Total: 57","RB: 6 | TM: 12 | TR: 24 | Total: 42","TR: 12 | Total: 12"
"RL11","TR, TM",50,"2011, 2012, 2013, 2014, 2015, 2016",6,"7 : TR","7 : TR","6 : TM | 6 : TR","6 : TM | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 38 | TM: 12 | Total: 50","TM: 12 | TR: 24 | Total: 36","TR: 12 | Total: 12"
