"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"459","9-NEW070.80",2021,3,"FP","FP",NA,3,3,3,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,"FLAG"
"460","9-NEW081.72",2021,32,"TR | AW | HF","TR",NA,38,38,38,100,100,94.7368421052632,50,100,100,100,100,100,100,100,100,"FLAG"
"461","9-NEW081.72",2022,6,"TR","TR",NA,38,38,38,100,100,94.7368421052632,50,100,100,100,100,100,100,100,100,"FLAG"
"462","9-NEW087.14",2021,514,"RL","RL",NA,678,678,678,69.9115044247788,69.6165191740413,69.9115044247788,34.9557522123894,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,"FLAG"
"463","9-NEW087.14",2022,164,"RL","RL",NA,678,678,678,69.9115044247788,69.6165191740413,69.9115044247788,34.9557522123894,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,69.9115044247788,"FLAG"
"464","9-NEW089.34",2021,442,"RL","RL",NA,586,586,586,67.9180887372014,67.9180887372014,67.9180887372014,33.9590443686007,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,"FLAG"
"465","9-NEW089.34",2022,144,"RL","RL",NA,586,586,586,67.9180887372014,67.9180887372014,67.9180887372014,33.9590443686007,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,67.9180887372014,"FLAG"
"466","9-NEW092.66",2021,446,"RL","RL",NA,590,590,590,68.8135593220339,68.8135593220339,68.8135593220339,34.4067796610169,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,"FLAG"
"467","9-NEW092.66",2022,144,"RL","RL",NA,590,590,590,68.8135593220339,68.8135593220339,68.8135593220339,34.4067796610169,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,68.8135593220339,"FLAG"
"468","9-NEW098.32",2021,176,"TR | RL","TR",NA,246,246,246,59.349593495935,59.349593495935,59.349593495935,29.6747967479675,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,"FLAG"
"469","9-NEW098.32",2022,70,"TR | RL","TR",NA,246,246,246,59.349593495935,59.349593495935,59.349593495935,29.6747967479675,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,59.349593495935,"FLAG"
"470","9-NEW107.51",2021,6,"TR","TR",NA,9,9,9,100,100,100,100,100,100,100,100,100,100,100,100,"FLAG"
"471","9-NEW107.51",2022,3,"TR","TR",NA,9,9,9,100,100,100,100,100,100,100,100,100,100,100,100,"FLAG"
"472","9-PKC000.00",2021,384,"RL","RL",NA,508,508,508,65.3543307086614,65.3543307086614,65.3543307086614,32.6771653543307,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,"FLAG"
"473","9-PKC000.00",2022,124,"RL","RL",NA,508,508,508,65.3543307086614,65.3543307086614,65.3543307086614,32.6771653543307,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,65.3543307086614,"FLAG"
"474","9-PKC004.16",2021,70,"RL","RL",NA,94,94,94,65.9574468085106,65.9574468085106,65.9574468085106,32.9787234042553,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,"FLAG"
