"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"RD26","RB, TM, AW",52,"2013, 2014, 2017",3,"8 : RB","12 : RB | 24 : TM",NA,NA,"8 : AW",NA,NA,"AW: 8 | Total: 8","RB: 20 | TM: 24 | AW: 8 | Total: 52","AW: 8 | Total: 8","AW: 8 | Total: 8"
"RD27","AW, FP",14,"2017, 2019",2,NA,NA,NA,NA,"12 : AW",NA,"2 : FP","AW: 12 | FP: 2 | Total: 14","AW: 12 | Total: 12","AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14"
"RD28","AW",11,"2016",1,NA,NA,NA,"11 : AW",NA,NA,NA,"AW: 11 | Total: 11","AW: 11 | Total: 11","AW: 11 | Total: 11",NA
"RD29","AW",22,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RD30","FP, PA, TR, RB",60,"2014, 2016, 2018, 2013, 2015, 2017, 2019",7,"11 : PA | 2 : RB | 1 : TR","1 : FP | 2 : RB | 12 : TR","5 : TR","2 : FP | 1 : RB | 6 : TR","5 : TR","1 : FP | 6 : TR","5 : TR","FP: 3 | RB: 1 | TR: 22 | Total: 26","PA: 11 | RB: 5 | TR: 35 | FP: 4 | Total: 55","TR: 27 | FP: 3 | RB: 1 | Total: 31","TR: 16 | FP: 1 | Total: 17"
"RD31","AW, RB, FP",31,"2016, 2014, 2015, 2017, 2019",5,NA,"2 : RB","2 : RB","12 : AW | 2 : FP | 1 : RB","6 : RB",NA,"6 : RB","AW: 12 | FP: 2 | RB: 13 | Total: 27","RB: 11 | AW: 12 | FP: 2 | Total: 25","RB: 15 | AW: 12 | FP: 2 | Total: 29","RB: 12 | Total: 12"
"RD32","TR, DR, FP, RB",89,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","10 : DR | 1 : FP | 3 : RB | 6 : TR","13 : DR | 6 : TR","11 : DR | 2 : RB | 6 : TR","4 : DR | 6 : TR","2 : DR | 6 : TR","2 : DR | 5 : TR","DR: 19 | RB: 2 | TR: 23 | Total: 44","TR: 36 | DR: 40 | FP: 1 | RB: 5 | Total: 82","DR: 32 | TR: 29 | RB: 2 | Total: 63","DR: 8 | TR: 17 | Total: 25"
"RD33","DR, AW",52,"2014, 2015, 2016, 2017, 2018",5,NA,"12 : AW | 11 : DR","12 : DR","11 : DR","4 : DR","2 : DR",NA,"DR: 17 | Total: 17","AW: 12 | DR: 40 | Total: 52","DR: 29 | Total: 29","DR: 6 | Total: 6"
"RD34","RB, AW, QA",19,"2014, 2016, 2013, 2018",4,"2 : RB","4 : RB",NA,"11 : AW | 1 : QA",NA,"1 : RB",NA,"AW: 11 | QA: 1 | RB: 1 | Total: 13","RB: 7 | AW: 11 | QA: 1 | Total: 19","AW: 11 | QA: 1 | RB: 1 | Total: 13","RB: 1 | Total: 1"
"RD35","AW, RB",13,"2017, 2018, 2019",3,NA,NA,NA,NA,"6 : AW","6 : AW","1 : RB","AW: 12 | RB: 1 | Total: 13","AW: 12 | Total: 12","AW: 12 | RB: 1 | Total: 13","AW: 12 | RB: 1 | Total: 13"
"RD36","TR, RB",42,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","1 : RB | 5 : TR","TR: 23 | RB: 1 | Total: 24","TR: 36 | Total: 36","TR: 29 | RB: 1 | Total: 30","TR: 17 | RB: 1 | Total: 18"
"RD37","RB, AW",14,"2014, 2015",2,NA,"2 : RB","12 : AW",NA,NA,NA,NA,NA,"RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12",NA
"RD38","AW, QA, PA, FP, RB",39,"2017, 2018, 2014, 2016, 2013, 2015",6,"2 : FP | 3 : RB","4 : FP | 12 : PA","4 : RB","2 : RB","5 : AW | 1 : QA","6 : AW",NA,"RB: 2 | AW: 11 | QA: 1 | Total: 14","FP: 6 | RB: 9 | PA: 12 | AW: 11 | QA: 1 | Total: 39","RB: 6 | AW: 11 | QA: 1 | Total: 18","AW: 11 | QA: 1 | Total: 12"
"RD39","AW, RB",17,"2016, 2015, 2014",3,NA,"3 : RB","2 : RB","12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 5 | AW: 12 | Total: 17","RB: 2 | AW: 12 | Total: 14",NA
"RD43","AW, FP, PA, QA",36,"2013, 2019",2,"12 : AW | 2 : FP | 12 : PA",NA,NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","AW: 12 | FP: 2 | PA: 12 | Total: 26","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"RD44","FP, DR, RB",6,"2013, 2014, 2015",3,"1 : FP | 2 : RB","1 : DR | 1 : FP","1 : DR",NA,NA,NA,NA,NA,"FP: 2 | RB: 2 | DR: 2 | Total: 6","DR: 1 | Total: 1",NA
"RD45","AW",22,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RD46","PA, FP, TR, DR",91,"2016, 2013, 2014, 2015, 2017, 2018, 2019",7,"6 : TR","11 : DR | 6 : TR","12 : DR | 6 : TR","11 : DR | 2 : FP | 12 : PA | 6 : TR","4 : DR | 6 : TR","2 : DR","2 : DR | 5 : TR","DR: 19 | FP: 2 | PA: 12 | TR: 17 | Total: 50","TR: 30 | DR: 40 | FP: 2 | PA: 12 | Total: 84","DR: 31 | TR: 23 | FP: 2 | PA: 12 | Total: 68","DR: 8 | TR: 11 | Total: 19"
"RD47","AW, RB",16,"2017, 2018, 2013",3,"4 : RB",NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","RB: 4 | AW: 12 | Total: 16","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD48","RB, FP, PA",18,"2014, 2018, 2015",3,NA,"2 : RB","2 : FP | 12 : PA",NA,NA,"2 : RB",NA,"RB: 2 | Total: 2","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | RB: 2 | Total: 16","RB: 2 | Total: 2"
"RD49","FP, RB",3,"2017, 2015",2,NA,NA,"2 : RB",NA,"1 : FP",NA,NA,"FP: 1 | Total: 1","RB: 2 | FP: 1 | Total: 3","RB: 2 | FP: 1 | Total: 3","FP: 1 | Total: 1"
"RD50","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD51","TR, RB, TM, FP",96,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","2 : RB | 6 : TR","6 : TR","5 : RB | 6 : TR","2 : FP | 4 : RB | 18 : TM | 6 : TR","2 : FP | 4 : RB | 18 : TM | 6 : TR","5 : TR","RB: 13 | TR: 23 | FP: 4 | TM: 36 | Total: 76","TR: 36 | RB: 15 | FP: 4 | TM: 36 | Total: 91","TR: 29 | RB: 13 | FP: 4 | TM: 36 | Total: 82","FP: 4 | RB: 8 | TM: 36 | TR: 17 | Total: 65"
