"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"RD62","AW, RB",15,"2017, 2018, 2014",3,NA,"1 : RB",NA,NA,"6 : AW | 2 : RB","6 : AW",NA,"AW: 12 | RB: 2 | Total: 14","RB: 3 | AW: 12 | Total: 15","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14"
"RD63","RB, PA",17,"2014, 2015, 2019",3,NA,"4 : RB","12 : PA",NA,NA,NA,"1 : PA","PA: 1 | Total: 1","RB: 4 | PA: 12 | Total: 16","PA: 13 | Total: 13","PA: 1 | Total: 1"
"RD64","RB, IM",31,"2014, 2015, 2016, 2017, 2018",5,NA,"1 : RB","6 : IM","12 : IM","6 : IM","6 : IM",NA,"IM: 24 | Total: 24","RB: 1 | IM: 30 | Total: 31","IM: 30 | Total: 30","IM: 12 | Total: 12"
"RD65","RL, RB, AW, PA",84,"2015, 2016, 2013, 2017, 2018",5,"4 : RB",NA,"12 : PA | 29 : RL","4 : RB | 23 : RL","6 : AW","6 : AW",NA,"RB: 4 | RL: 23 | AW: 12 | Total: 39","RB: 8 | PA: 12 | RL: 52 | AW: 12 | Total: 84","PA: 12 | RL: 52 | RB: 4 | AW: 12 | Total: 80","AW: 12 | Total: 12"
"RD66","RB, QA, AW",14,"2016, 2017, 2018",3,NA,NA,NA,"2 : RB","5 : AW | 1 : QA","6 : AW",NA,"RB: 2 | AW: 11 | QA: 1 | Total: 14","RB: 2 | AW: 11 | QA: 1 | Total: 14","RB: 2 | AW: 11 | QA: 1 | Total: 14","AW: 11 | QA: 1 | Total: 12"
"RD67","TR, TM",48,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","7 : TM | 6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | TM: 7 | Total: 43","TM: 7 | TR: 29 | Total: 36","TR: 17 | Total: 17"
"RD70","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RD71","AW",12,"2013",1,"12 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RD72","AW, QA",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","5 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"RD73","AW, QA, TR, RB",14,"2017, 2018, 2015",3,NA,NA,"2 : RB",NA,"5 : AW | 1 : QA","6 : TR",NA,"AW: 5 | QA: 1 | TR: 6 | Total: 12","RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","AW: 5 | QA: 1 | TR: 6 | Total: 12"
"RD74","RB, FP",2,"2015, 2018",2,NA,NA,"1 : RB",NA,NA,"1 : FP",NA,"FP: 1 | Total: 1","RB: 1 | FP: 1 | Total: 2","RB: 1 | FP: 1 | Total: 2","FP: 1 | Total: 1"
"RD75","AW, RB",14,"2014, 2015",2,NA,"12 : AW","2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
"RD76","AW",21,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"9 : AW","AW: 9 | Total: 9","AW: 12 | Total: 12","AW: 9 | Total: 9","AW: 9 | Total: 9"
"RD77","TR, RB, DR",72,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","7 : DR | 6 : TR","7 : DR | 5 : RB | 6 : TR","7 : DR | 6 : TR","3 : DR | 6 : TR","2 : DR | 6 : TR","5 : TR","DR: 12 | TR: 23 | Total: 35","TR: 36 | DR: 26 | RB: 5 | Total: 67","DR: 19 | RB: 5 | TR: 29 | Total: 53","DR: 5 | TR: 17 | Total: 22"
"RL01","RB, AW, QA, TR",16,"2014, 2016, 2017, 2018",4,NA,"2 : RB",NA,"2 : RB","5 : AW | 1 : QA","6 : TR",NA,"RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","RB: 4 | AW: 5 | QA: 1 | TR: 6 | Total: 16","RB: 2 | AW: 5 | QA: 1 | TR: 6 | Total: 14","AW: 5 | QA: 1 | TR: 6 | Total: 12"
"RL03","AW, TR, QA",22,"2017, 2018, 2019",3,NA,NA,NA,NA,"6 : AW","6 : TR","9 : AW | 1 : QA","AW: 15 | TR: 6 | QA: 1 | Total: 22","AW: 6 | TR: 6 | Total: 12","AW: 15 | TR: 6 | QA: 1 | Total: 22","AW: 15 | TR: 6 | QA: 1 | Total: 22"
"RL06","RL",410,"2014, 2016, 2018, 2019",4,NA,"114 : RL",NA,"111 : RL",NA,"114 : RL","71 : RL","RL: 296 | Total: 296","RL: 339 | Total: 339","RL: 296 | Total: 296","RL: 185 | Total: 185"
"RL07","RL, FP, PA",301,"2014, 2016, 2018, 2019",4,NA,"77 : RL",NA,"87 : RL",NA,"81 : RL","2 : FP | 1 : PA | 53 : RL","RL: 221 | FP: 2 | PA: 1 | Total: 224","RL: 245 | Total: 245","RL: 221 | FP: 2 | PA: 1 | Total: 224","RL: 134 | FP: 2 | PA: 1 | Total: 137"
"RL09","RL",1817,"2014, 2016, 2018, 2019",4,NA,"492 : RL",NA,"497 : RL",NA,"517 : RL","311 : RL","RL: 1325 | Total: 1325","RL: 1506 | Total: 1506","RL: 1325 | Total: 1325","RL: 828 | Total: 828"
"RL10","TM, RB, TR",62,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"3 : RB | 6 : TM | 6 : TR","2 : RB | 6 : TM | 6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","2 : RB | 6 : TR","5 : TR","TR: 23 | RB: 4 | Total: 27","RB: 9 | TM: 12 | TR: 36 | Total: 57","TR: 29 | RB: 4 | Total: 33","RB: 4 | TR: 17 | Total: 21"
"RL11","TR, RB, TM",67,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TM | 6 : TR","6 : TM | 6 : TR","6 : TR","6 : TR","2 : RB | 6 : TM | 6 : TR","6 : TM | 6 : TR","5 : TR","TR: 23 | RB: 2 | TM: 12 | Total: 37","TM: 24 | TR: 36 | RB: 2 | Total: 62","TR: 29 | RB: 2 | TM: 12 | Total: 43","RB: 2 | TM: 12 | TR: 17 | Total: 31"
"RL12","TM, TR",53,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TM | 6 : TR","6 : TM | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TM: 12 | TR: 36 | Total: 48","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RL13","AW, RL, PA, FP",100,"2014, 2013, 2019",3,"27 : RL","12 : AW | 30 : RL",NA,NA,NA,NA,"2 : FP | 1 : PA | 28 : RL","FP: 2 | PA: 1 | RL: 28 | Total: 31","RL: 57 | AW: 12 | Total: 69","FP: 2 | PA: 1 | RL: 28 | Total: 31","FP: 2 | PA: 1 | RL: 28 | Total: 31"
"RL14","TR, RB, RL",220,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","49 : RL | 6 : TR","6 : TR","49 : RL | 6 : TR","2 : RB | 6 : TR","45 : RL | 6 : TR","34 : RL | 5 : TR","RL: 128 | TR: 23 | RB: 2 | Total: 153","TR: 36 | RL: 143 | RB: 2 | Total: 181","TR: 29 | RL: 128 | RB: 2 | Total: 159","RB: 2 | TR: 17 | RL: 79 | Total: 98"
"RL18","RB, AW, RL, QA",369,"2014, 2017, 2018, 2016, 2019",5,NA,"2 : RB | 112 : RL",NA,"91 : RL","6 : AW","6 : AW | 1 : QA | 2 : RB | 81 : RL","1 : QA | 67 : RL","RL: 239 | AW: 12 | QA: 2 | RB: 2 | Total: 255","RB: 4 | RL: 284 | AW: 12 | QA: 1 | Total: 301","RL: 239 | AW: 12 | QA: 2 | RB: 2 | Total: 255","AW: 12 | QA: 2 | RB: 2 | RL: 148 | Total: 164"
"RL20","PA, RB, FP",18,"2013, 2017, 2014",3,"2 : FP | 12 : PA","2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","FP: 2 | PA: 12 | RB: 4 | Total: 18","RB: 2 | Total: 2","RB: 2 | Total: 2"
"RL21","RB",1,"2015",1,NA,NA,"1 : RB",NA,NA,NA,NA,NA,"RB: 1 | Total: 1","RB: 1 | Total: 1",NA
"RL22","TM",12,"2013, 2014",2,"6 : TM","6 : TM",NA,NA,NA,NA,NA,NA,"TM: 12 | Total: 12",NA,NA
"RL23","AW",12,"2013",1,"12 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RU01","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU02","PA, FP, RB",33,"2014, 2015, 2017",3,NA,"2 : FP | 13 : PA","4 : RB",NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","FP: 4 | PA: 25 | RB: 4 | Total: 33","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | Total: 14"
"RU03","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU04","AW",12,"2017",1,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU05","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RU06","AW, QA, FP",25,"2013, 2015",2,"12 : AW | 1 : FP",NA,"11 : AW | 1 : QA",NA,NA,NA,NA,NA,"AW: 23 | FP: 1 | QA: 1 | Total: 25","AW: 11 | QA: 1 | Total: 12",NA
"RU07","TR",41,"2017, 2013, 2014, 2015, 2016, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU08","AW, QA",22,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","AW: 12 | Total: 12","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"RU09","PA, QA, FP, RB, TR",58,"2017, 2018, 2013, 2014, 2015, 2016, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","1 : FP | 11 : PA | 1 : QA | 2 : RB | 6 : TR","2 : RB | 6 : TR","5 : TR","TR: 23 | FP: 1 | PA: 11 | QA: 1 | RB: 4 | Total: 40","TR: 36 | FP: 1 | PA: 11 | QA: 1 | RB: 4 | Total: 53","TR: 29 | FP: 1 | PA: 11 | QA: 1 | RB: 4 | Total: 46","FP: 1 | PA: 11 | QA: 1 | RB: 4 | TR: 17 | Total: 34"
"RU10","RB, AW, QA",16,"2013, 2015, 2016",3,"2 : RB",NA,"11 : AW | 1 : QA","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 4 | AW: 11 | QA: 1 | Total: 16","AW: 11 | QA: 1 | RB: 2 | Total: 14",NA
"RU11","TM, RB, AW, PT",42,"2015, 2016, 2017, 2018, 2019",5,NA,NA,"2 : RB | 6 : TM","10 : TM","12 : AW | 8 : TM","2 : PT","2 : PT","TM: 18 | AW: 12 | PT: 4 | Total: 34","RB: 2 | TM: 24 | AW: 12 | PT: 2 | Total: 40","RB: 2 | TM: 24 | AW: 12 | PT: 4 | Total: 42","AW: 12 | TM: 8 | PT: 4 | Total: 24"
"RU12","PA, QA, FP, RL, AW, TM, RB, PT",317,"2015, 2017, 2018, 2016",4,NA,NA,"2 : FP | 10 : PA | 2 : QA | 2 : RB | 6 : TM","2 : FP | 1 : PT | 5 : TM","3 : AW | 140 : RL","144 : RL",NA,"FP: 2 | PT: 1 | TM: 5 | AW: 3 | RL: 284 | Total: 295","FP: 4 | PA: 10 | QA: 2 | RB: 2 | TM: 11 | PT: 1 | AW: 3 | RL: 284 | Total: 317","FP: 4 | PA: 10 | QA: 2 | RB: 2 | TM: 11 | PT: 1 | AW: 3 | RL: 284 | Total: 317","AW: 3 | RL: 284 | Total: 287"
"RU13","TM, TR, RB",74,"2015, 2016, 2017, 2018, 2013, 2014, 2019",7,"6 : TR","6 : TR","2 : RB | 6 : TM | 6 : TR","8 : TM | 6 : TR","8 : TM | 6 : TR","2 : RB | 12 : TR","1 : RB | 5 : TR","TM: 16 | TR: 29 | RB: 3 | Total: 48","TR: 42 | RB: 4 | TM: 22 | Total: 68","RB: 5 | TM: 22 | TR: 35 | Total: 62","TM: 8 | TR: 23 | RB: 3 | Total: 34"
"RU14","RB, TM, TR, PA, PT, FP",132,"2017, 2018, 2013, 2014, 2015, 2016, 2019",7,"2 : RB | 12 : TR","4 : RB | 12 : TR","4 : RB | 8 : TM | 12 : TR","10 : TM | 10 : TR","1 : FP | 12 : PA | 1 : PT | 2 : RB | 8 : TM | 11 : TR","2 : RB | 12 : TR","9 : TR","TM: 18 | TR: 42 | FP: 1 | PA: 12 | PT: 1 | RB: 4 | Total: 78","RB: 14 | TR: 69 | TM: 26 | FP: 1 | PA: 12 | PT: 1 | Total: 123","RB: 8 | TM: 26 | TR: 54 | FP: 1 | PA: 12 | PT: 1 | Total: 102","FP: 1 | PA: 12 | PT: 1 | RB: 4 | TM: 8 | TR: 32 | Total: 58"
"RU15","AW, RB, TM",74,"2014, 2013, 2015, 2016, 2017, 2019",6,"2 : RB","12 : AW","6 : RB","6 : RB","6 : RB | 36 : TM",NA,"6 : RB","RB: 18 | TM: 36 | Total: 54","RB: 20 | AW: 12 | TM: 36 | Total: 68","RB: 24 | TM: 36 | Total: 60","RB: 12 | TM: 36 | Total: 48"
"RU16","AW, RB, RL",377,"2017, 2018, 2013, 2014, 2015, 2016, 2019",7,"58 : RL","59 : RL","50 : RL","45 : RL","12 : AW | 2 : RB | 49 : RL","2 : RB | 49 : RL","51 : RL","RL: 194 | AW: 12 | RB: 4 | Total: 210","RL: 310 | AW: 12 | RB: 4 | Total: 326","RL: 244 | AW: 12 | RB: 4 | Total: 260","AW: 12 | RB: 4 | RL: 149 | Total: 165"
"RU17","AW, RB",17,"2017, 2018, 2019",3,NA,NA,NA,NA,"12 : AW | 2 : RB","2 : RB","1 : RB","AW: 12 | RB: 5 | Total: 17","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 5 | Total: 17","AW: 12 | RB: 5 | Total: 17"
"RU18","RL",3808,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"531 : RL","592 : RL","498 : RL","505 : RL","520 : RL","586 : RL","576 : RL","RL: 2187 | Total: 2187","RL: 3232 | Total: 3232","RL: 2685 | Total: 2685","RL: 1682 | Total: 1682"
"RU19","RL, AW, TM, RB",1351,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"184 : RL","224 : RL","189 : RL","2 : AW | 201 : RL","2 : RB | 174 : RL | 6 : TM","1 : RB | 195 : RL | 6 : TM","1 : RB | 166 : RL","AW: 2 | RL: 736 | RB: 4 | TM: 12 | Total: 754","RL: 1167 | AW: 2 | RB: 3 | TM: 12 | Total: 1184","RL: 925 | AW: 2 | RB: 4 | TM: 12 | Total: 943","RB: 4 | RL: 535 | TM: 12 | Total: 551"
"RU20","TR, TM, FP, IM",71,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","2 : FP | 6 : TR","6 : TR","6 : TR","2 : TM | 6 : TR","25 : IM | 2 : TM | 4 : TR","TR: 22 | TM: 4 | IM: 25 | Total: 51","TR: 36 | FP: 2 | TM: 2 | Total: 40","FP: 2 | TR: 28 | TM: 4 | IM: 25 | Total: 59","TR: 16 | TM: 4 | IM: 25 | Total: 45"
"RU21","TR, QA, PA, RB, IM",79,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","2 : RB | 6 : TR","12 : PA | 6 : TR","6 : TR","1 : QA | 5 : TR","24 : IM | 5 : TR","PA: 12 | TR: 22 | QA: 1 | IM: 24 | Total: 59","TR: 35 | RB: 2 | PA: 12 | QA: 1 | Total: 50","RB: 2 | TR: 28 | PA: 12 | QA: 1 | IM: 24 | Total: 67","TR: 16 | QA: 1 | IM: 24 | Total: 41"
"RU22","RB, TR, QA, TM, IM",328,"2018, 2013, 2014, 2015, 2016, 2017, 2019",7,"30 : TR","2 : RB | 30 : TR","2 : RB | 30 : TR","29 : TR","30 : TR","1 : QA | 3 : RB | 2 : TM | 30 : TR","92 : IM | 5 : RB | 13 : TM | 29 : TR","TR: 118 | QA: 1 | RB: 8 | TM: 15 | IM: 92 | Total: 234","TR: 179 | RB: 7 | QA: 1 | TM: 2 | Total: 189","RB: 10 | TR: 148 | QA: 1 | TM: 15 | IM: 92 | Total: 266","TR: 89 | QA: 1 | RB: 8 | TM: 15 | IM: 92 | Total: 205"
"RU23","TR, RB, PA, FP, IM",80,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","2 : FP | 6 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","24 : IM | 1 : RB | 9 : TR","TR: 27 | RB: 3 | IM: 24 | Total: 54","TR: 36 | FP: 2 | PA: 6 | RB: 2 | Total: 46","TR: 33 | RB: 3 | IM: 24 | Total: 60","TR: 21 | RB: 3 | IM: 24 | Total: 48"
"RU24","RL, TR, RB, IM",1703,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"246 : RL | 6 : TR","262 : RL | 6 : TR","186 : RL | 6 : TR","219 : RL | 6 : TR","2 : RB | 252 : RL | 6 : TR","2 : RB | 249 : RL | 6 : TR","26 : IM | 218 : RL | 5 : TR","RL: 938 | TR: 23 | RB: 4 | IM: 26 | Total: 991","RL: 1414 | TR: 36 | RB: 4 | Total: 1454","RL: 1124 | TR: 29 | RB: 4 | IM: 26 | Total: 1183","RB: 4 | RL: 719 | TR: 17 | IM: 26 | Total: 766"
"RU25","RL, TR, RB, TM",852,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"120 : RL | 6 : TR","123 : RL | 6 : TR","2 : RB | 93 : RL | 6 : TR","106 : RL | 8 : TM | 6 : TR","2 : RB | 124 : RL | 8 : TM | 6 : TR","2 : RB | 117 : RL | 6 : TR","2 : RB | 103 : RL | 6 : TR","RL: 450 | TM: 16 | TR: 24 | RB: 6 | Total: 496","RL: 683 | TR: 36 | RB: 6 | TM: 16 | Total: 741","RB: 8 | RL: 543 | TR: 30 | TM: 16 | Total: 597","RB: 6 | RL: 344 | TM: 8 | TR: 18 | Total: 376"
"RU26","RL",4115,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"693 : RL","614 : RL","467 : RL","517 : RL","643 : RL","632 : RL","549 : RL","RL: 2341 | Total: 2341","RL: 3566 | Total: 3566","RL: 2808 | Total: 2808","RL: 1824 | Total: 1824"
"RU27","RL, AW, TM, QA",5461,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"710 : RL","928 : RL","791 : RL","12 : AW | 732 : RL","699 : RL","1 : QA | 858 : RL | 12 : TM","718 : RL","AW: 12 | RL: 3007 | QA: 1 | TM: 12 | Total: 3032","RL: 4718 | AW: 12 | QA: 1 | TM: 12 | Total: 4743","RL: 3798 | AW: 12 | QA: 1 | TM: 12 | Total: 3823","RL: 2275 | QA: 1 | TM: 12 | Total: 2288"
"RU28","AW",23,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"11 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RU29","RB, TM, PA, QA, IM, FP",128,"2015, 2016, 2013, 2014, 2017, 2018, 2019",7,"2 : FP | 12 : PA | 1 : RB | 18 : TM","10 : PA | 2 : QA | 2 : RB | 18 : TM","12 : IM | 2 : RB | 1 : TM","7 : IM | 1 : RB","12 : IM | 2 : RB | 6 : TM","11 : IM | 1 : QA | 1 : RB | 6 : TM","1 : RB","IM: 30 | RB: 5 | TM: 12 | QA: 1 | Total: 48","FP: 2 | PA: 22 | RB: 9 | TM: 49 | QA: 3 | IM: 42 | Total: 127","IM: 42 | RB: 7 | TM: 13 | QA: 1 | Total: 63","IM: 23 | RB: 4 | TM: 12 | QA: 1 | Total: 40"
"RU30","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU31","TM, QA, PA, RB, FP",44,"2013, 2014, 2017, 2018, 2019",5,"1 : QA | 5 : TM","10 : PA | 1 : QA | 6 : TM",NA,NA,"2 : RB","2 : FP | 12 : PA | 1 : QA | 2 : RB","2 : FP","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21","QA: 3 | TM: 11 | PA: 22 | RB: 4 | FP: 2 | Total: 42","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21"
"RU32","AW, QA, IM",35,"2014, 2015, 2016, 2017, 2018",5,NA,"10 : AW | 1 : QA","6 : IM","6 : IM","6 : IM","6 : IM",NA,"IM: 18 | Total: 18","AW: 10 | QA: 1 | IM: 24 | Total: 35","IM: 24 | Total: 24","IM: 12 | Total: 12"
"RU33","AW, QA",12,"2018",1,NA,NA,NA,NA,NA,"11 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"RU34","AW, RB, PA, QA, FP",25,"2015, 2013, 2018",3,"2 : RB",NA,"12 : AW",NA,NA,"2 : FP | 8 : PA | 1 : QA",NA,"FP: 2 | PA: 8 | QA: 1 | Total: 11","RB: 2 | AW: 12 | FP: 2 | PA: 8 | QA: 1 | Total: 25","AW: 12 | FP: 2 | PA: 8 | QA: 1 | Total: 23","FP: 2 | PA: 8 | QA: 1 | Total: 11"
"RU35","RB, TM, TR, FP",75,"2013, 2014, 2017, 2018, 2015, 2016, 2019",7,"2 : RB | 6 : TR","2 : RB | 11 : TM | 6 : TR","6 : TR","7 : TR","2 : RB | 6 : TM | 6 : TR","2 : RB | 6 : TM | 6 : TR","2 : FP | 5 : TR","TR: 24 | RB: 4 | TM: 12 | FP: 2 | Total: 42","RB: 8 | TR: 37 | TM: 23 | Total: 68","TR: 30 | RB: 4 | TM: 12 | FP: 2 | Total: 48","RB: 4 | TM: 12 | TR: 17 | FP: 2 | Total: 35"
"RU36","TM, IM, TR, FP",71,"2013, 2014, 2015, 2016, 2017, 2018",6,"12 : TM","10 : TM","12 : IM","12 : IM","12 : TR","2 : FP | 11 : TR",NA,"IM: 12 | TR: 23 | FP: 2 | Total: 37","TM: 22 | IM: 24 | TR: 23 | FP: 2 | Total: 71","IM: 24 | TR: 23 | FP: 2 | Total: 49","TR: 23 | FP: 2 | Total: 25"
"RU37","RB, TM, IM, TR",98,"2013, 2014, 2017, 2018, 2015, 2016, 2019",7,"4 : RB | 6 : TM | 6 : TR","2 : RB | 16 : TM | 6 : TR","6 : IM | 5 : TR","6 : IM | 6 : TR","2 : RB | 6 : TR","6 : IM | 2 : RB | 3 : TM | 6 : TR","10 : TR","IM: 12 | TR: 28 | RB: 4 | TM: 3 | Total: 47","RB: 10 | TM: 25 | TR: 35 | IM: 18 | Total: 88","IM: 18 | TR: 33 | RB: 4 | TM: 3 | Total: 58","RB: 4 | TR: 22 | IM: 6 | TM: 3 | Total: 35"
"RU38","AW, TM, IM, RL, FP, PA, RB",953,"2013, 2014, 2018, 2015, 2017, 2016, 2019",7,"12 : AW | 215 : RL","6 : TM","198 : RL","2 : FP | 12 : PA","188 : RL","6 : IM | 163 : RL","2 : RB | 149 : RL","FP: 2 | PA: 12 | RL: 500 | IM: 6 | RB: 2 | Total: 522","AW: 12 | RL: 764 | TM: 6 | FP: 2 | PA: 12 | IM: 6 | Total: 802","RL: 698 | FP: 2 | PA: 12 | IM: 6 | RB: 2 | Total: 720","RL: 500 | IM: 6 | RB: 2 | Total: 508"
"RU39","RB, AW, SS, PA, FP",47,"2013, 2018, 2014, 2016, 2019",5,"2 : RB","4 : FP | 11 : PA",NA,"3 : FP",NA,"12 : AW | 2 : FP | 12 : SS","1 : RB","FP: 5 | AW: 12 | SS: 12 | RB: 1 | Total: 30","RB: 2 | FP: 9 | PA: 11 | AW: 12 | SS: 12 | Total: 46","FP: 5 | AW: 12 | SS: 12 | RB: 1 | Total: 30","AW: 12 | FP: 2 | SS: 12 | RB: 1 | Total: 27"
"RU40","TM, RB, IM",23,"2015, 2016, 2017, 2019",4,NA,NA,"2 : RB | 6 : TM","6 : IM | 2 : TM","6 : TM",NA,"1 : RB","IM: 6 | TM: 8 | RB: 1 | Total: 15","RB: 2 | TM: 14 | IM: 6 | Total: 22","RB: 3 | TM: 14 | IM: 6 | Total: 23","TM: 6 | RB: 1 | Total: 7"
"RU41","FP, PA, QA, TM, RB",36,"2016, 2015, 2017",3,NA,NA,"2 : RB | 6 : TM","2 : FP | 11 : PA | 1 : QA | 8 : TM","6 : TM",NA,NA,"FP: 2 | PA: 11 | QA: 1 | TM: 14 | Total: 28","RB: 2 | TM: 20 | FP: 2 | PA: 11 | QA: 1 | Total: 36","RB: 2 | TM: 20 | FP: 2 | PA: 11 | QA: 1 | Total: 36","TM: 6 | Total: 6"
"RU42","AW, RB",13,"2015, 2019",2,NA,NA,"12 : AW",NA,NA,NA,"1 : RB","RB: 1 | Total: 1","AW: 12 | Total: 12","AW: 12 | RB: 1 | Total: 13","RB: 1 | Total: 1"
"RU43","TR, PA",53,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","12 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | PA: 12 | Total: 48","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU44","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU45","RB, AW",11,"2018, 2019",2,NA,NA,NA,NA,NA,"1 : RB","10 : AW","RB: 1 | AW: 10 | Total: 11","RB: 1 | Total: 1","RB: 1 | AW: 10 | Total: 11","RB: 1 | AW: 10 | Total: 11"
"RU46","AW",12,"2014",1,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RU47","RB, AW",14,"2016",1,NA,NA,NA,"12 : AW | 2 : RB",NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14",NA
